# short label	CvObject's full name	CvObject's type	MI reference	annotation's CvTopic.shortlabel	exclusion reason (Annotation's text)	apply to children	short exclusion reason			Sam's comment
 in silico	 in silico	CV experiment condition	MI:0491	obsolete term	OBSOLETE as a full host organisms description is recommended using tax id == -1 as convention to refer to 'in vitro' interaction.	TRUE	obsolete to be loaded in IntAct			This is not yet stored in IntAct
 in vitro	 in vitro	CV experiment condition	MI:0492	obsolete term	OBSOLETE as a full host organisms description is recommended using tax id == -1 as convention to refer to 'in vitro' interaction.	TRUE	obsolete to be loaded in IntAct			This is not yet stored in IntAct
 in vivo	 in vivo	CV experiment condition	MI:0493	obsolete term	OBSOLETE as a full host organisms description is recommended using tax id == -1 as convention to refer to 'in vitro' interaction.	TRUE	obsolete to be loaded in IntAct			This is not yet stored in IntAct
 in situ	 in situ	CV experiment condition	MI:0494	obsolete term	OBSOLETE as a full host organisms description is recommended using tax id == -1 as convention to refer to 'in vitro' interaction.	TRUE	obsolete to be loaded in IntAct			This is not yet stored in IntAct
 transfection	 transfection	CV experimental preparation - CV delivery method	MI:0312	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
microinjection	microinjection	CV experimental preparation - CV delivery method	MI:0311	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 infection	 infection	CV experimental preparation - CV delivery method	MI:0310	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 electroporation	 electroporation	CV experimental preparation - CV delivery method	MI:0308	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 genomic tagging	 genomic tagging	CV experimental preparation - CV delivery method	MI:0309	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 delivery method	 delivery method	CV experimental preparation - CV delivery method	MI:0307	hidden	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-2			This is not yet stored in IntAct
 over-expressed	 over-expressed level	CV experimental preparation - CV expression level	MI:0506	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 under-expressed	 under-expressed level	CV experimental preparation - CV expression level	MI:0223	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 endogenous level	 endogenous level	CV experimental preparation - CV expression level	MI:0222	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 expression level	 expression level	CV experimental preparation - CV expression level	MI:0221	hidden	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-2			This is not yet stored in IntAct
 engineered	 engineered	CV experimental preparation - CV molecular source	MI:0331	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 molecular source	 molecular source	CV experimental preparation - CV molecular source	MI:0330	hidden	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-2			This is not yet stored in IntAct
 naturally occurring	 naturally occurring	CV experimental preparation - CV molecular source	MI:0332	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 subcellular prep	 subcellular preparation	CV experimental preparation - CV sample process	MI:0372	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 partially purified	 partially purified	CV experimental preparation - CV sample process	MI:0352	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 homogeneous	 homogeneous	CV experimental preparation - CV sample process	MI:0351	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 purified	 purified	CV experimental preparation - CV sample process	MI:0350	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 sample process	 sample process	CV experimental preparation - CV sample process	MI:0342	hidden	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-2			This is not yet stored in IntAct
 cdna library	 cdna library	CV experimental preparation - CV sample process	MI:0343	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 cell lysate	 cell lysate	CV experimental preparation - CV sample process	MI:0344	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 fixed cell	 fixed cell	CV experimental preparation - CV sample process	MI:0348	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 living cell	 living cell	CV experimental preparation - CV sample process	MI:0349	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
in vitro translated	in vitro translated protein	CV experimental preparation - CV sample process	MI:0589	hidden	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
