Q99068	IntAct	Q99068	-
Q9C6B3	IntAct	Q9C6B3	-
P0A6K1	IntAct	P0A6K1	-
Q60931	IntAct	Q60931	-
Q9VC61	IntAct	Q9VC61	-
Q9VBU1	IntAct	Q9VBU1	-
P53044	IntAct	P53044	-
Q8SXR5	IntAct	Q8SXR5	-
Q6IAT5	IntAct	Q6IAT5	-
P38887	IntAct	P38887	-
P0A955	IntAct	P0A955	-
Q9VUQ5	IntAct	Q9VUQ5	-
Q9SWI1	IntAct	Q9SWI1	-
Q04119	IntAct	Q04119	-
Q05166	IntAct	Q05166	-
Q9N4Q7	IntAct	Q9N4Q7	-
P38203	IntAct	P38203	-
Q03941	IntAct	Q03941	-
Q9Y4K3	IntAct	Q9Y4K3	-
Q02775	IntAct	Q02775	-
P04745	IntAct	P04745	-
Q9VGK3	IntAct	Q9VGK3	-
P97441	IntAct	P97441	-
Q9VVF3	IntAct	Q9VVF3	-
Q9V9I0	IntAct	Q9V9I0	-
O76136	IntAct	O76136	-
P45768	IntAct	P45768	-
P10592	IntAct	P10592	-
P08753	IntAct	P08753	-
Q8BUV3	IntAct	Q8BUV3	-
Q8VD20	IntAct	Q8VD20	-
Q9XWK3	IntAct	Q9XWK3	-
Q9V6D9	IntAct	Q9V6D9	-
Q9CZU6	IntAct	Q9CZU6	-
Q12018	IntAct	Q12018	-
Q8WYJ1	IntAct	Q8WYJ1	-
O88712	IntAct	O88712	-
Q9VHG5	IntAct	Q9VHG5	-
P52295	IntAct	P52295	-
P38700	IntAct	P38700	-
Q7TP34	IntAct	Q7TP34	-
Q8R2M5	IntAct	Q8R2M5	-
P23776	IntAct	P23776	-
Q16665	IntAct	Q16665	-
Q6P2S3	IntAct	Q6P2S3	-
P0AGJ9	IntAct	P0AGJ9	-
P45976	IntAct	P45976	-
P34253	IntAct	P34253	-
P28661	IntAct	P28661	-
Q9V902	IntAct	Q9V902	-
P0AC13	IntAct	P0AC13	-
O89051	IntAct	O89051	-
P16914	IntAct	P16914	-
O54734	IntAct	O54734	-
P37678	IntAct	P37678	-
Q9V3A4	IntAct	Q9V3A4	-
Q9V9Y2	IntAct	Q9V9Y2	-
Q78PY7	IntAct	Q78PY7	-
P32085	IntAct	P32085	-
P08050	IntAct	P08050	-
Q9UJW9	IntAct	Q9UJW9	-
P09201	IntAct	P09201	-
Q08096	IntAct	Q08096	-
Q9VCK1	IntAct	Q9VCK1	-
P25332	IntAct	P25332	-
P40359	IntAct	P40359	-
Q06335	IntAct	Q06335	-
Q9D0M3	IntAct	Q9D0M3	-
Q9VAA0	IntAct	Q9VAA0	-
O16783	IntAct	O16783	-
Q9UKI9	IntAct	Q9UKI9	-
P38181	IntAct	P38181	-
Q12329	IntAct	Q12329	-
Q93346	IntAct	Q93346	-
Q9NAJ3	IntAct	Q9NAJ3	-
P40328	IntAct	P40328	-
P35221	IntAct	P35221	-
Q07915	IntAct	Q07915	-
Q9VRE9	IntAct	Q9VRE9	-
P49028	IntAct	P49028	-
Q8MQ68	IntAct	Q8MQ68	-
Q9H633	IntAct	Q9H633	-
Q9NR45	IntAct	Q9NR45	-
P39007	IntAct	P39007	-
Q9W201	IntAct	Q9W201	-
P77734	IntAct	P77734	-
Q15759	IntAct	Q15759	-
Q02447	IntAct	Q02447	-
Q2PS20	IntAct	Q2PS20	-
Q9N423	IntAct	Q9N423	-
