ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Experimental role(s) interactor A	Experimental role(s) interactor B	Biological role(s) interactor A	Biological role(s) interactor B	Properties interactor A	Properties interactor B	Type(s) interactor A	Type(s) interactor B	HostOrganism(s)	Expansion method(s)	Dataset name(s)
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:dl4200c(gene name)	uniprotkb:dl4200c(gene name)	intact:AT4g16340	intact:AT4g16340	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568196|intact:EBI-1548183	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	interpro:IPR010703	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:BRK1(gene name)	uniprotkb:BRK1(gene name)	intact:T9I22.8|intact:At2g22640	intact:T9I22.8|intact:At2g22640	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568130|intact:EBI-1548001	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q9ZQ49	uniprotkb:Q9ZQ49	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q2V3I8|intact:EBI-1547718	uniprotkb:O80764|intact:EBI-1547752	-	uniprotkb:T13D8.30(gene name)	intact:At4g14147	-	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568105|intact:EBI-1547759	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	go:GO:0005856|go:GO:0030041|interpro:IPR008384	go:GO:0005856|go:GO:0030833|interpro:IPR007204	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q2V3I8|intact:EBI-1547718	uniprotkb:Q8LGI3|intact:EBI-1547736	-	uniprotkb:At1g30825/T17H7.13(gene name)	intact:At4g14147	intact:At1g30825	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568110|intact:EBI-1547744	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	go:GO:0005856|go:GO:0030041|interpro:IPR008384	go:GO:0005885|go:GO:0007015|interpro:IPR007188	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:Q9SAF1|intact:EBI-1547641	uniprotkb:BRK1(gene name)	uniprotkb:F3F19.20(gene name)	intact:T9I22.8|intact:At2g22640	intact:ARP3|intact:At1g13180	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568115|intact:EBI-1547687	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q9ZQ49	interpro:IPR015623|go:GO:0005515|interpro:IPR004000	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:O80764|intact:EBI-1547752	uniprotkb:BRK1(gene name)	uniprotkb:T13D8.30(gene name)	intact:T9I22.8|intact:At2g22640	-	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568120|intact:EBI-1547771	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q9ZQ49	go:GO:0005856|go:GO:0030833|interpro:IPR007204	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q9FHY1|intact:EBI-1547680	uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:ABIL4(gene name)	uniprotkb:BRK1(gene name)	intact:MJC20.13|intact:At5g42030	intact:T9I22.8|intact:At2g22640	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568125|intact:EBI-1547981	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q8LG96	uniprotkb:Q9ZQ49	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:O80764|intact:EBI-1547752	uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:T13D8.30(gene name)	uniprotkb:SCAR2(gene name)	-	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568140|intact:EBI-1547806	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	go:GO:0005856|go:GO:0030833|interpro:IPR007204	uniprotkb:O80907|interpro:IPR003124	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:ABIL1(gene name)	uniprotkb:SCAR2(gene name)	intact:At2g46225	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568153|intact:EBI-1547895	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q8GWF6	uniprotkb:O80907|interpro:IPR003124	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q9FHY1|intact:EBI-1547680	uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:ABIL4(gene name)	uniprotkb:SCAR2(gene name)	intact:MJC20.13|intact:At5g42030	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568158|intact:EBI-1547986	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q8LG96	uniprotkb:O80907|interpro:IPR003124	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:SCAR2(gene name)	uniprotkb:BRK1(gene name)	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	intact:T9I22.8|intact:At2g22640	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568165|intact:EBI-1548010	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:O80907|interpro:IPR003124	uniprotkb:Q9ZQ49	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q8LGI3|intact:EBI-1547736	uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:At1g30825/T17H7.13(gene name)	uniprotkb:SCAR3(gene name)	intact:At1g30825	intact:F28N24.14|intact:At1g29170	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568172|intact:EBI-1547748	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	go:GO:0005885|go:GO:0007015|interpro:IPR007188	-	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q9FHY1|intact:EBI-1547680	uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:ABIL4(gene name)	uniprotkb:SCAR3(gene name)	intact:MJC20.13|intact:At5g42030	intact:F28N24.14|intact:At1g29170	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568177|intact:EBI-1547993	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q8LG96	-	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:SCAR3(gene name)	uniprotkb:BRK1(gene name)	intact:F28N24.14|intact:At1g29170	intact:T9I22.8|intact:At2g22640	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568182|intact:EBI-1548016	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	-	uniprotkb:Q9ZQ49	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:dl4200c(gene name)	uniprotkb:ABIL1(gene name)	intact:AT4g16340	intact:At2g46225	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568187|intact:EBI-1547924	-	MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	interpro:IPR010703	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:SCAR2(gene name)	uniprotkb:dl4200c(gene name)	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	intact:AT4g16340	MI:0809(bifc)|MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)|MI:0469(intact)	intact:EBI-1568192|intact:EBI-1568201|intact:EBI-1548092	-	MI:0497(neutral component)|MI:0497(neutral component)|MI:0498(prey)	MI:0497(neutral component)|MI:0497(neutral component)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:O80907|interpro:IPR003124	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	arath:3702|arath:3702|yeast:4932	-	-
uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:Q6NMC6|intact:EBI-1547954	uniprotkb:SCAR3(gene name)	uniprotkb:ABIL3(gene name)	intact:F28N24.14|intact:At1g29170	intact:MOP9.13|intact:At5g24310	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547971	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	-	uniprotkb:Q3YIV3|uniprotkb:Q3YIV4|uniprotkb:Q9FNF1	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:Q6NMC6|intact:EBI-1547954	uniprotkb:BRK1(gene name)	uniprotkb:ABIL3(gene name)	intact:T9I22.8|intact:At2g22640	intact:MOP9.13|intact:At5g24310	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547967	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q9ZQ49	uniprotkb:Q3YIV3|uniprotkb:Q3YIV4|uniprotkb:Q9FNF1	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:dl4200c(gene name)	uniprotkb:ABIL2(gene name)	intact:AT4g16340	intact:F2K15.150|intact:At3g49290	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547950	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR010703	uniprotkb:Q8GXQ1	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q5XPK0|intact:EBI-1547905	uniprotkb:Q9M3A3|intact:EBI-1547669	-	uniprotkb:ABIL2(gene name)	intact:F28J12.260|intact:At4g18600	intact:F2K15.150|intact:At3g49290	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547946	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O49528	uniprotkb:Q8GXQ1	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:ABIL2(gene name)	uniprotkb:SCAR3(gene name)	intact:F2K15.150|intact:At3g49290	intact:F28N24.14|intact:At1g29170	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547942	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q8GXQ1	-	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:ABIL2(gene name)	uniprotkb:SCAR2(gene name)	intact:F2K15.150|intact:At3g49290	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547936	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q8GXQ1	uniprotkb:O80907|interpro:IPR003124	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:ABIL2(gene name)	uniprotkb:SCAR1(gene name)	intact:F2K15.150|intact:At3g49290	intact:T14G11.27|intact:At2g34150	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547932	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q8GXQ1	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:ABIL2(gene name)	uniprotkb:BRK1(gene name)	intact:F2K15.150|intact:At3g49290	intact:T9I22.8|intact:At2g22640	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547928	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q8GXQ1	uniprotkb:Q9ZQ49	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q5XPK0|intact:EBI-1547905	uniprotkb:Q8S8M5|intact:EBI-1547655	-	uniprotkb:ABIL1(gene name)	intact:F28J12.260|intact:At4g18600	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547913	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O49528	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:SCAR3(gene name)	uniprotkb:ABIL1(gene name)	intact:F28N24.14|intact:At1g29170	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547901	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	-	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:SCAR1(gene name)	uniprotkb:ABIL1(gene name)	intact:T14G11.27|intact:At2g34150	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547891	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:BRK1(gene name)	uniprotkb:ABIL1(gene name)	intact:T9I22.8|intact:At2g22640	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547887	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q9ZQ49	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q5S2C4|intact:EBI-1547830	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:NAP1(gene name)	uniprotkb:ABIL1(gene name)	intact:GRL|intact:NAP|intact:NAPP|intact:T4C15.22|intact:At2g35110	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547879	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O82180|uniprotkb:Q66GU3|uniprotkb:Q6BDH4|go:GO:0005515	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q5S2C4|intact:EBI-1547830	uniprotkb:Q5S2C3|intact:EBI-1547858	uniprotkb:NAP1(gene name)	uniprotkb:PIR(gene name)	intact:GRL|intact:NAP|intact:NAPP|intact:T4C15.22|intact:At2g35110	intact:KLK|intact:PIRP|intact:F20L16.130|intact:At5g18410	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547875	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O82180|uniprotkb:Q66GU3|uniprotkb:Q6BDH4|go:GO:0005515	uniprotkb:Q3E9F2|uniprotkb:Q6DLU3|interpro:IPR008081|interpro:IPR016536	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:Q6NMC6|intact:EBI-1547954	uniprotkb:dl4200c(gene name)	uniprotkb:ABIL3(gene name)	intact:AT4g16340	intact:MOP9.13|intact:At5g24310	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1568093	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR010703	uniprotkb:Q3YIV3|uniprotkb:Q3YIV4|uniprotkb:Q9FNF1	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O82481|intact:EBI-1548072	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:ARAC10(gene name)	uniprotkb:dl4200c(gene name)	intact:ROP11|intact:MQB2.20|intact:MQB2.180|intact:At5g62880	intact:AT4g16340	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548215	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:Q9XGU0|intact:EBI-1548051	uniprotkb:dl4200c(gene name)	uniprotkb:ARAC9(gene name)	intact:AT4g16340	intact:ROP8|intact:F16B22.18|intact:At2g44690	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548208	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR010703	interpro:IPR001806|interpro:IPR005225|uniprotkb:O80508|interpro:IPR003578|interpro:IPR013753	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9SBJ6|intact:EBI-1548024	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:ARAC6(gene name)	uniprotkb:dl4200c(gene name)	intact:T19K4.80|intact:RAC2|intact:ROP5|intact:F4B14_220|intact:At4g35950	intact:AT4g16340	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548202	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O65632|interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
