# short label	CvObject's full name	CvObject's type	MI reference	annotation's CvTopic.shortlabel	exclusion reason (Annotation's text)	apply to children	short exclusion reason			Sam's comment
 alias type	 alias type	uk.ac.ebi.intact.model.CvAliasType	MI:0300	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 bind	 bind	uk.ac.ebi.intact.model.CvDatabase	MI:0462	hidden	Term currently not used in IntAct as this database is not cross referenced.	TRUE	db not used in IntAct			children was TRUE
 biological role	 biological role	uk.ac.ebi.intact.model.CvComponentRole	MI:0500	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 biopolymer	 biopolymer	uk.ac.ebi.intact.model.CvInteractorType	MI:0383	hidden	Term currently not used during manual curation as they are automatically assigned.	FALSE	root term-1			update type( CV interactor type )
 cdd	 cdd	uk.ac.ebi.intact.model.CvDatabase	MI:0450	hidden	Term currently not used in IntAct as this database is not cross referenced.	TRUE	db not used in IntAct			children was TRUE
 cdna library	 cdna library	CV experimental preparation - CV sample process	MI:0343	not loaded	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 cell lysate	 cell lysate	CV experimental preparation - CV sample process	MI:0344	not loaded	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 chebi	 chebi	uk.ac.ebi.intact.model.CvDatabase	MI:0474	hidden	Term currently not used in IntAct as this database is not cross referenced.	TRUE	db not used in IntAct			children was TRUE
 complex	 complex	uk.ac.ebi.intact.model.CvInteractorType	MI:0314	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	Term not used in IntAct.			update type( CV interactor type )
 database citation	 database citation	uk.ac.ebi.intact.model.CvDatabase	MI:0444	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 ddbj/embl/genbank	 ddbj/embl/genbank	uk.ac.ebi.intact.model.CvDatabase	MI:0475	hidden	Term currently not used in IntAct as this database is not cross referenced.	TRUE	db not used in IntAct			children was TRUE
 delivery method	 delivery method	CV experimental preparation - CV delivery method	MI:0307	not loaded	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-2			This is not yet stored in IntAct
 ecocyc	 ecocyc	uk.ac.ebi.intact.model.CvDatabase	MI:0466	hidden	Term currently not used in IntAct as this database is not cross referenced.	TRUE	db not used in IntAct			children was TRUE
 electroporation	 electroporation	CV experimental preparation - CV delivery method	MI:0308	not loaded	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 endogenous level	 endogenous level	CV experimental preparation - CV expression level	MI:0222	not loaded	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 engineered	 engineered	CV experimental preparation - CV molecular source	MI:0331	not loaded	Term currently not used in IntAct as the appropriate fields are not yet implemented.	TRUE	not implemented			This is not yet stored in IntAct
 entrezgene/locuslink	 entrez gene/locuslink	uk.ac.ebi.intact.model.CvDatabase	MI:0477	hidden	Term currently not used in IntAct as this database is not cross referenced.	TRUE	db not used in IntAct			children was TRUE
 experiment xref	 experiment database xref	uk.ac.ebi.intact.model.CvDatabase	MI:0445	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-2			
