#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:O45406	uniprotkb:Q17635	intact:EBI-1175834	intact:EBI-314429|uniprotkb:Q23107	psi-mi:kbp3_caeel(display_long)|uniprotkb:kbp-3(gene name)|psi-mi:kbp-3(display_short)|uniprotkb:F26H11.1(orf name)	psi-mi:ndc80_caeel(display_long)|uniprotkb:ndc-80(gene name)|psi-mi:ndc-80(display_short)|uniprotkb:W01B6.9(orf name)|uniprotkb:Hec1 homolog(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175852|imex:IM-12009-3	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0000777"(condensed chromosome kinetochore)|go:"GO:0005634"(nucleus)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_496993.1|wormbase:F26H11.1	go:"GO:0000777"(condensed chromosome kinetochore)|go:"GO:0005634"(nucleus)|go:"GO:0035262"(gonad morphogenesis)|go:"GO:0007126"(meiotic nuclear division)|go:"GO:0030334"(regulation of cell migration)|refseq:NP_501830.1|wormbase:W01B6.9|interpro:IPR005550(HEC/Ndc80p)|go:"GO:0051315"(attachment of spindle microtubules to kinetochore involved in mitotic sister chromatid segregation)|go:"GO:0019904"(protein domain specific binding)|go:"GO:0032403"(protein complex binding)	go:"GO:0031262"(Ndc80 complex)	-	-	figure legend:1 D|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2008/09/22	rogid:qirHdE0d5GsHc7D5XlqZgH5kXMk6239	rogid:VqbUclU7wKvfpUfmJTQj3SosKtg6239	intact-crc:30F482C3B66DBC3A|rigid:mBr5zzvrQpqWjqshU6v+q0gaVIU	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:O45406	uniprotkb:Q21952	intact:EBI-1175834	intact:EBI-326288	psi-mi:kbp3_caeel(display_long)|uniprotkb:kbp-3(gene name)|psi-mi:kbp-3(display_short)|uniprotkb:F26H11.1(orf name)	psi-mi:nuf2_caeel(display_long)|uniprotkb:R12B2.4(orf name)|uniprotkb:Kinetochore protein him-10(gene name synonym)|uniprotkb:Protein high incidence of males 10(gene name synonym)|uniprotkb:him-10(gene name)|psi-mi:him-10(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175852|imex:IM-12009-3	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0000777"(condensed chromosome kinetochore)|go:"GO:0005634"(nucleus)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_496993.1|wormbase:F26H11.1	go:"GO:0000776"(kinetochore)|go:"GO:0005198"(structural molecule activity)|go:"GO:0000777"(condensed chromosome kinetochore)|go:"GO:0005634"(nucleus)|go:"GO:0008608"(attachment of spindle microtubules to kinetochore)|go:"GO:0051383"(kinetochore organization)|go:"GO:0045132"(meiotic chromosome segregation)|go:"GO:0000070"(mitotic sister chromatid segregation)|go:"GO:0007052"(mitotic spindle organization)|refseq:NP_498253.1|wormbase:R12B2.4|interpro:IPR005549(Nuf2)|go:"GO:0000003"(reproduction)|go:"GO:0032403"(protein complex binding)	go:"GO:0031262"(Ndc80 complex)	-	-	figure legend:1 D|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2008/09/22	rogid:qirHdE0d5GsHc7D5XlqZgH5kXMk6239	rogid:jGq4E8mXj7wTqWnEvuhDvjX2FxQ6239	intact-crc:30F482C3B66DBC3A|rigid:mBr5zzvrQpqWjqshU6v+q0gaVIU	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:O45406	uniprotkb:Q9N2X3	intact:EBI-1175834	intact:EBI-1175844	psi-mi:kbp3_caeel(display_long)|uniprotkb:kbp-3(gene name)|psi-mi:kbp-3(display_short)|uniprotkb:F26H11.1(orf name)	psi-mi:q9n2x3_caeel(display_long)|uniprotkb:CELE_Y92C3B.1(orf name)|uniprotkb:Y92C3B.1(orf name)|uniprotkb:kbp-4(gene name)|psi-mi:kbp-4(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175852|imex:IM-12009-3	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0000777"(condensed chromosome kinetochore)|go:"GO:0005634"(nucleus)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_496993.1|wormbase:F26H11.1	refseq:NP_497330.2|wormbase:Y92C3B.1	go:"GO:0031262"(Ndc80 complex)	-	-	figure legend:1 D|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2008/09/22	rogid:qirHdE0d5GsHc7D5XlqZgH5kXMk6239	rogid:ArHYGGXo4eybhrwSPsnHxrza6Pg6239	intact-crc:30F482C3B66DBC3A|rigid:mBr5zzvrQpqWjqshU6v+q0gaVIU	false	-	his tag:?-?	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:P34278	uniprotkb:O76406	intact:EBI-313751	intact:EBI-1175918	psi-mi:knl1_caeel(display_long)|uniprotkb:C02F5.1(orf name)|uniprotkb:knl-1(gene name)|psi-mi:knl-1(display_short)	psi-mi:o76406_caeel(display_long)|uniprotkb:CELE_T10B5.6(orf name)|uniprotkb:T10B5.6(orf name)|uniprotkb:knl-3(gene name)|psi-mi:knl-3(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175966|imex:IM-12009-4	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0005938"(cell cortex)|go:"GO:0000785"(chromatin)|go:"GO:0000940"(condensed chromosome outer kinetochore)|go:"GO:0030953"(astral microtubule organization)|go:"GO:0051301"(cell division)|go:"GO:0007059"(chromosome segregation)|go:"GO:0045184"(establishment of protein localization)|go:"GO:0051382"(kinetochore assembly)|go:"GO:0007126"(meiotic nuclear division)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_498811.1|wormbase:C02F5.1|go:"GO:0000776"(kinetochore)|go:"GO:0005694"(chromosome)|go:"GO:0032403"(protein complex binding)|go:"GO:0008017"(microtubule binding)	go:"GO:0000778"(condensed nuclear chromosome kinetochore)|go:"GO:0051382"(kinetochore assembly)|refseq:NP_503520.1|wormbase:T10B5.6	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 H|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2010/05/07	rogid:3DFBj4SOezj3CRsizwC0biCAfUQ6239	rogid:YdVt0+9h0bkfHGwA9xNuJiWIimo6239	intact-crc:7311F01E8BC44BEB|rigid:F+WWBffYpaVQCCuAT6BMssJNLAs	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:P34278	uniprotkb:Q8MNT1	intact:EBI-313751	intact:EBI-1175933	psi-mi:knl1_caeel(display_long)|uniprotkb:C02F5.1(orf name)|uniprotkb:knl-1(gene name)|psi-mi:knl-1(display_short)	psi-mi:q8mnt1_caeel(display_long)|uniprotkb:CELE_F26F4.13(orf name)|uniprotkb:F26F4.13(orf name)|uniprotkb:kbp-2(gene name)|psi-mi:kbp-2(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175966|imex:IM-12009-4	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0005938"(cell cortex)|go:"GO:0000785"(chromatin)|go:"GO:0000940"(condensed chromosome outer kinetochore)|go:"GO:0030953"(astral microtubule organization)|go:"GO:0051301"(cell division)|go:"GO:0007059"(chromosome segregation)|go:"GO:0045184"(establishment of protein localization)|go:"GO:0051382"(kinetochore assembly)|go:"GO:0007126"(meiotic nuclear division)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_498811.1|wormbase:C02F5.1|go:"GO:0000776"(kinetochore)|go:"GO:0005694"(chromosome)|go:"GO:0032403"(protein complex binding)|go:"GO:0008017"(microtubule binding)	interpro:IPR007128(Nnf1)|refseq:NP_741121.1|wormbase:F26F4.13	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 H|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2010/05/07	rogid:3DFBj4SOezj3CRsizwC0biCAfUQ6239	rogid:g+0jqSzB1pS16iJ8Qyh3pLz0a6M6239	intact-crc:7311F01E8BC44BEB|rigid:F+WWBffYpaVQCCuAT6BMssJNLAs	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:P34278	uniprotkb:Q95QB8	intact:EBI-313751	intact:EBI-1175928	psi-mi:knl1_caeel(display_long)|uniprotkb:C02F5.1(orf name)|uniprotkb:knl-1(gene name)|psi-mi:knl-1(display_short)	psi-mi:q95qb8_caeel(display_long)|uniprotkb:CELE_R13F6.1(orf name)|uniprotkb:R13F6.1(orf name)|uniprotkb:kbp-1(gene name)|psi-mi:kbp-1(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175966|imex:IM-12009-4	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0005938"(cell cortex)|go:"GO:0000785"(chromatin)|go:"GO:0000940"(condensed chromosome outer kinetochore)|go:"GO:0030953"(astral microtubule organization)|go:"GO:0051301"(cell division)|go:"GO:0007059"(chromosome segregation)|go:"GO:0045184"(establishment of protein localization)|go:"GO:0051382"(kinetochore assembly)|go:"GO:0007126"(meiotic nuclear division)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_498811.1|wormbase:C02F5.1|go:"GO:0000776"(kinetochore)|go:"GO:0005694"(chromosome)|go:"GO:0032403"(protein complex binding)|go:"GO:0008017"(microtubule binding)	wormbase:R13F6.1	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 H|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2010/05/07	rogid:3DFBj4SOezj3CRsizwC0biCAfUQ6239	rogid:M//0ApTdj9fnjaEAwjxvr02e6Us6239	intact-crc:7311F01E8BC44BEB|rigid:F+WWBffYpaVQCCuAT6BMssJNLAs	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:P34278	uniprotkb:Q9N3R7	intact:EBI-313751	intact:EBI-1175923	psi-mi:knl1_caeel(display_long)|uniprotkb:C02F5.1(orf name)|uniprotkb:knl-1(gene name)|psi-mi:knl-1(display_short)	psi-mi:q9n3r7_caeel(display_long)|uniprotkb:CELE_Y47G6A.24(orf name)|uniprotkb:Y47G6A.24(orf name)|uniprotkb:mis-12(gene name)|psi-mi:mis-12(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1175966|imex:IM-12009-4	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0005938"(cell cortex)|go:"GO:0000785"(chromatin)|go:"GO:0000940"(condensed chromosome outer kinetochore)|go:"GO:0030953"(astral microtubule organization)|go:"GO:0051301"(cell division)|go:"GO:0007059"(chromosome segregation)|go:"GO:0045184"(establishment of protein localization)|go:"GO:0051382"(kinetochore assembly)|go:"GO:0007126"(meiotic nuclear division)|go:"GO:0007067"(mitotic nuclear division)|refseq:NP_498811.1|wormbase:C02F5.1|go:"GO:0000776"(kinetochore)|go:"GO:0005694"(chromosome)|go:"GO:0032403"(protein complex binding)|go:"GO:0008017"(microtubule binding)	refseq:NP_491184.1|wormbase:Y47G6A.24a	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 H|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2010/05/07	rogid:3DFBj4SOezj3CRsizwC0biCAfUQ6239	rogid:EQD16Rq8ODi0DL8A2U5WQjJNJp86239	intact-crc:7311F01E8BC44BEB|rigid:F+WWBffYpaVQCCuAT6BMssJNLAs	false	-	flag tag:?-?	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:O76406	uniprotkb:Q8MNT1	intact:EBI-1175918	intact:EBI-1175933	psi-mi:o76406_caeel(display_long)|uniprotkb:CELE_T10B5.6(orf name)|uniprotkb:T10B5.6(orf name)|uniprotkb:knl-3(gene name)|psi-mi:knl-3(display_short)	psi-mi:q8mnt1_caeel(display_long)|uniprotkb:CELE_F26F4.13(orf name)|uniprotkb:F26F4.13(orf name)|uniprotkb:kbp-2(gene name)|psi-mi:kbp-2(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1179641|imex:IM-12009-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0000778"(condensed nuclear chromosome kinetochore)|go:"GO:0051382"(kinetochore assembly)|refseq:NP_503520.1|wormbase:T10B5.6	interpro:IPR007128(Nnf1)|refseq:NP_741121.1|wormbase:F26F4.13	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 F|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2008/09/22	rogid:YdVt0+9h0bkfHGwA9xNuJiWIimo6239	rogid:g+0jqSzB1pS16iJ8Qyh3pLz0a6M6239	intact-crc:CEBF0921F6119745|rigid:VAv+DTBj5TmUsrKLnUgSH8CNyNg	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:O76406	uniprotkb:Q95QB8	intact:EBI-1175918	intact:EBI-1175928	psi-mi:o76406_caeel(display_long)|uniprotkb:CELE_T10B5.6(orf name)|uniprotkb:T10B5.6(orf name)|uniprotkb:knl-3(gene name)|psi-mi:knl-3(display_short)	psi-mi:q95qb8_caeel(display_long)|uniprotkb:CELE_R13F6.1(orf name)|uniprotkb:R13F6.1(orf name)|uniprotkb:kbp-1(gene name)|psi-mi:kbp-1(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1179641|imex:IM-12009-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0000778"(condensed nuclear chromosome kinetochore)|go:"GO:0051382"(kinetochore assembly)|refseq:NP_503520.1|wormbase:T10B5.6	wormbase:R13F6.1	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 F|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2008/09/22	rogid:YdVt0+9h0bkfHGwA9xNuJiWIimo6239	rogid:M//0ApTdj9fnjaEAwjxvr02e6Us6239	intact-crc:CEBF0921F6119745|rigid:VAv+DTBj5TmUsrKLnUgSH8CNyNg	false	-	-	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
uniprotkb:O76406	uniprotkb:Q9N3R7	intact:EBI-1175918	intact:EBI-1175923	psi-mi:o76406_caeel(display_long)|uniprotkb:CELE_T10B5.6(orf name)|uniprotkb:T10B5.6(orf name)|uniprotkb:knl-3(gene name)|psi-mi:knl-3(display_short)	psi-mi:q9n3r7_caeel(display_long)|uniprotkb:CELE_Y47G6A.24(orf name)|uniprotkb:Y47G6A.24(orf name)|uniprotkb:mis-12(gene name)|psi-mi:mis-12(display_short)	psi-mi:"MI:0071"(molecular sieving)	Cheeseman et al. (2006)	imex:IM-12009|pubmed:17129783	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	taxid:6239(caeel)|taxid:6239(Caenorhabditis elegans)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1179641|imex:IM-12009-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0000778"(condensed nuclear chromosome kinetochore)|go:"GO:0051382"(kinetochore assembly)|refseq:NP_503520.1|wormbase:T10B5.6	refseq:NP_491184.1|wormbase:Y47G6A.24a	psi-mi:"MI:0469"(intact)	-	-	figure legend:1 F|full coverage:Only protein-protein interactions|dataset:Cancer - Interactions investigated in the context of cancer|curation depth:imex curation	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2006/12/05	2008/09/22	rogid:YdVt0+9h0bkfHGwA9xNuJiWIimo6239	rogid:EQD16Rq8ODi0DL8A2U5WQjJNJp86239	intact-crc:CEBF0921F6119745|rigid:VAv+DTBj5TmUsrKLnUgSH8CNyNg	false	-	flag tag:?-?	-	-	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)	psi-mi:"MI:0818"(molecular weight estimation by coomasie staining)
